text,label
CLAIMS1. A wireless telephone apparatus comprising: a handset; an onioff-hook switch; a wireless communications module for establishing first and second cellular telephone calls via a base station; and means for generating an explicit call transfer command for sending to the base station in response to activation of the on-hook switch when the first and second wireless calls are established through the apparatus.,others
"The apparatus of claim, ftirther comprising a body having a cradle for the handset, wherein the onloff hook switch operates in response to placing the handset in the cradle.",others
"The apparatus of claim, wherein the first predetermined button is a redial button.",button predetermined apparatus
"The apparatus of other claims, wherein the transfer means toggles between the first and second calls by putting either the first or the second call on hold.",button predetermined apparatus
"The apparatus of any one of other claims, further comprising means for enabling a phonebook lookup operation when in the call initiation mode.",button predetermined apparatus
"The apparatus of any one of other claims, wherein the call initiation mode and a dialling mode are entered using the first predetermined button.",button predetermined apparatus
"The apparatus of any one of the preceding claims, further comprising display means for displaying first and second icons adjacent information relating to the first and second calls respectively, the first and second icons being adapted to switch when toggling between calls.",others
"The apparatus of claim, further comprising selection means for selecting information displayed on the display means.",others
"The apparatus of other claims, wherein the transfer means is adapted to initiate a call to a second party whose information is displayed on the display means.",others
"The apparatus of any one of other claims, further comprising a second predetermined button which ends an active call and reverts to a call on hold.",button predetermined apparatus
"The apparatus of claim, wherein the second predetermined button is a clear button.",button predetermined apparatus
"A method of effecting a call transfer comprising: establishing first and second cellular telephone calls at a wireless telephone apparatus, and generating an explicit call transfer command for sending to a base station in response to activation of an on-hook switch.",others
A communication apparatus as substantially herein before described with reference to the accompanying drawings in Figures 1 to 7.,others
"The method according to claim, wherein said indication is received from an external source such as a Mobile Switching Centre Server.",said predefined threshold
"The method according to claim, wherein said indication is received in a Gateway Control Protocol (GCP) message.",said predefined threshold
"The method according to claim, wherein said indication is a priority value within the GCP message.",said predefined threshold
"The method according to claim, wherein said GCP message is a context request.",said predefined threshold
"The method according to claim, wherein said indication is received from an internal source.",said predefined threshold
"The method according to claim, further comprising routing said call through a second backbone further connected to said media gateway.",said predefined threshold
"The method according to claim, wherein said internal source is a calendar.",said predefined threshold
"The method according to claim, wherein said step of detecting comprises: measuring a call gradient by analyzing call set-up events overtime, and detecting that the call set-up should be performed even when the measured packet loss is above a predefined packet loss threshold and/or when the measured jitter is above a predefined jitter threshold, when said gradient is above a predefined value.",said predefined threshold
"The method according to claim, wherein said step of detecting further comprises: receiving an indication that a measured packet loss above the predefined packet loss threshold or a measured jitter above the predefined jitter threshold for an originator of said call is acceptable.",said predefined threshold
"The method according to claim, wherein said step of detecting further comprises: receiving an indication that a measured packet loss above the predefined packet loss threshold or a measured jitter above the predefined jitter threshold for the destination of said call is acceptable.",said predefined threshold
"The Media Gateway according to claim, wherein said means for connecting to said backbone are further configured to receive said indication from an external source such as a Mobile Switching Centre Server.",said predefined threshold
"The Media Gateway according to claim, further comprising an internal source for providing said indication.",said predefined threshold
"The Media Gateway according to claim, wherein said means for deciding are further configured to route said call through a second backbone further connected to said media gateway.",said predefined threshold
The Mobile Switching Centre Server according to claim wherein: said means for processing are further configured to measure a call gradient by analyzing call set-up events over time; and said means for processing are further configured to detect that the call set-up should be performed even if the measured packet loss is above a predefined packet loss threshold or if the measured jitter is above a predefined jitter threshold if said gradient is above a predefined value.,said predefined threshold
The Mobile Switching Centre Server according to claim wherein said means for processing are further configured to receive an indication associated with the call indicating that a packet loss above the predefined packet loss threshold or a jitter above the predefined jitter threshold for an originator of said call is acceptable.,said predefined threshold
The Mobile Switching Centre Server according to claim wherein said means for processing are further configured to receive an indication associated with the call indicating that a measured packet loss above the predefined packet loss threshold or a measured jitter above the predefined jitter threshold for a destination of said call is acceptable.,said predefined threshold
"A system, comprising:
a processor; and
a memory that stores executable instructions that, when executed by the processor, facilitate performance of operations, comprising:
obtaining a pressure-in to signal-out transfer function representing a distortion of an output signal of a microphone corresponding to an input stimulus of a defined sound pressure level (SPL) that has been applied to the microphone;
creating an ideal sine wave stimulus based on an amplitude of a time domain waveform representing the output signal and a fundamental frequency of the time domain waveform;
generating, based on a defined relationship between the ideal sine wave stimulus and the time domain waveform, an equation representing the pressure-in to signal-out transfer function representing the distortion of the output signal; and
inverting the equation to obtain an inverse transfer function for facilitating an application, by the microphone, of the inverse transfer function to the output signal to obtain a linearized output representing the input stimulus.",output stimulus waveform
"A system, comprising:
a processor; and
a memory that stores executable instructions that, when executed by the processor, facilitate performance of operations, comprising:
obtaining a pressure-in to signal-out transfer function representing a distortion of an output signal of a microphone corresponding to an input stimulus of a defined sound pressure level (SPL) that has been applied to the microphone;
creating an ideal sine wave stimulus based on an amplitude of a time domain waveform representing the output signal and a fundamental frequency of the time domain waveform;
generating, based on a defined relationship between the ideal sine wave stimulus and the time domain waveform, an equation representing the pressure-in to signal-out transfer function representing the distortion of the output signal; and
inverting the equation to obtain an inverse transfer function for facilitating an application, by the microphone, of the inverse transfer function to the output signal to obtain a linearized output representing the input stimulus.",output stimulus waveform
"The system of claim, wherein the output signal is an output voltage, and wherein the obtaining comprises:
measuring the output voltage.",output stimulus waveform
"The system of claim, wherein the obtaining comprises:
deriving, during a simulation of a defined model of the microphone comprising production based parameters of the microphone, the output signal.",output stimulus waveform
"The system of claim, wherein the obtaining comprises:
importing output data of the time domain waveform representing the output signal; and
based on the output data, obtaining properties of the time domain waveform comprising the amplitude of the time domain waveform and the fundamental frequency of the time domain waveform.",output stimulus waveform
"The system of claim, wherein the defined relationship represents a voltage difference between the ideal sine wave stimulus and the time domain waveform with respect to a defined alignment of respective phases of the ideal sine wave stimulus and the time domain waveform.",output stimulus waveform
"The system of claim, wherein the microphone comprises a micro-electro-mechanical system (MEMS) microphone.",others
"The system of claim, wherein the MEMS microphone comprises:
a diaphragm that converts the SPL into an electrical signal;
a single backplate capacitively coupled to a side of the diaphragm; and
an electronic amplifier that buffers the electrical signal to generate the output signal.",diaphragm electrical signal
"The system of claim, wherein the MEMS microphone comprises:
a diaphragm that converts the SPL into an electrical signal;
dual backplates capacitively coupled to respective sides of the diaphragm; and
an electronic amplifier that buffers the electrical signal to generate the output signal.",diaphragm electrical signal
"The system of claim, wherein the distortion comprises odd-order harmonic distortion and even-order harmonic distortion.",others
"The system of claim, wherein the distortion is not frequency dependent, and wherein the distortion is not time dependent.",others
